text,sentiment
last session of the day  httptwitpiccom67ezh,neutral
 shanghai is also really exciting precisely  skyscrapers galore good tweeps in china  sh  bj,positive
recession hit veronique branquinho she has to quit her company such a shame,negative
 happy bday,positive
 httptwitpiccom4w75p  i like it,positive
 thats great weee visitors,positive
i think everyone hates me on here   lol,negative
 soooooo wish i could but im in school and myspace is completely blocked,negative
 and within a short time of the last clue all of them,neutral
 what did you get  my day is alright havent done anything yet leaving soon to my stepsister though,neutral
my bike was put on holdshould have known that argh total bummer,negative
 i checked  we didnt win,neutral
  and youre on twitter did the tavern bore you that much,neutral
im in va for the weekend my youngest son turns 2 tomorrowit makes me kinda sad he is getting so big check out my twipics,negative
its coming out the socket  i feel like my phones hole is not a virgin thats how loose it is ,negative
so hot today _  dont like it and i hate my new timetable having such a bad week,negative
 miss you,negative
cramps   ,negative
 you guys didnt say hi or answer my questions yesterday  but nice songs,positive
im going into a spiritual stagnentation its exploding my ego i now realise im not all that great and im ok with that,neutral
stupid storm no river for us tonight,negative
my dead grandpa pays more attention to me than you do,negative
 need retail therapy bad ahhhgimme money geebus,negative
about to go to sleep,neutral
 you are lame  go make me breakfast,negative
 thats so cool,positive
hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime,neutral
huh another scarepoint coding sunday,neutral
 look who i found just for you    httptwittercomdjt2009,positive
no ac the fan doesnt swing our way  we are sweating it out on a hot humid day,negative
 guess that depends on if you want to be on the jury,neutral
resorted to eating mickey ds alone,neutral
there is a faux gothy chick looking at me sorry i am not going to camden and i like poppunk and jimmy eat world,neutral
 did he ask for your twitter id your sun sign,neutral
 whered you go,neutral
watching body of liesgood film,positive
happy mothers day mumm  xoxo,positive
so i really need to put the laptop down  start getting ready for  shindigbut ive missed my twitterloves all day,neutral
 im sorry  at least its friday,negative
feels sorry every time im printing out i use like 200 new papers,negative
 4n ma rog  never heard of it  esti beat acum u tweet too much,negative
 i always forget something when i travel i am at newark airport,neutral
should have left car and walked home i might need someone to rescue me with petrol light flashing,neutral
im only updating this so that bretts phone beeps  but really looking at wedding stuff againfor the next five months,neutral
 hi there  i agree  small children should be running about happy not breaking down in tears,positive
  hope ur havin fun in da club,positive
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday,neutral
thinks sg is wonderful,positive
  im really sorry i know wallah how u feel this life is shittttttttt,negative
not happy,negative
is watching acoustic performances  in the mood for a good friends episode i miss that show,neutral
 ill oscillate from one to the other,neutral
im so very tiredand have insomnia,negative
 thanks ennio,positive
 you should totally come get me and bring me to kelslaws house with you,neutral
 you seem nice youre generous and you know your stuff,positive
 u so dirrrrrty why oh why did i pick the hawks  i figured i needed a longshot and they were a better bet than car,neutral
almost got a kitty yesterdaybut it didnt work out,neutral
reality needs to check in schools over time to party  not tonight tho im going to bed night night,neutral
   caladesi was definitely a nice peaceful way to spend a sunday i got a lil tan,positive
 i still dont know what we would do though,neutral
_xo   dang it so its not certain    are you okay,neutral
change of plans i am staying in brandon  no papaya salad for me,neutral
dear rain you suck now i gotta change my plans for tonight,negative
at starbucks with my love eff school i have work later too,neutral
i just cried whilst watching hollyoaks   i need a life lol,negative
hi all just recovering from a party looking forward to an exciting bank holiday around the diy shopslife cant get much bettersurely,positive
terminator salvation by myself,neutral
 fortheloss dumbface  him not u what u up to on the wknd i wanna seeeeeee ya,negative
 why do i have to enter my registration details every time i update,neutral
on the monday so i wont be able to be with you  i love you,positive
 ur so cuteim a fan of dream a little dream this kiss and appearances like in dawsons creek  make more flicks,positive
 tgif is righti think i broke my toe last night  on my bad foot,neutral
 oherr its soon then do you have plans i had a party on saturday  x,neutral
_lamont yr very young looking dude,positive
 hmmm wrong link ignore my tweet,negative
att cheated the system and now i have no green day tickets   you att,negative
tracy and berwick breaks my achy breaky heart  they split ways in the hallways,negative
 yep i wish they were all playing dubiln,positive
 im a lady and ladies dont move couches they direct where the couches go,neutral
 yay for block party  youre the bomb blockheads 3 dave   thanks for supporting nkotb,positive
 26th february,neutral
guess what mom adopted a kitty today 11 months his name is corky,neutral
happy birthday snickers  i hope you have the best day ever lets go shopping,positive
 thank you  im working on s,positive
 lol man i got 2 1 2 hrs an iont how i woulda made it wit out my ramen noodles and tv time,neutral
not feeling all that well today,negative
httptwitpiccom4wp8s  my ear hurts and this is my medicine gum,negative
_berland lmao i know i know,neutral
gnight shar    vega ,neutral
the underwire in my bra is sticking out and poking me in the armpit,negative
happy mothers day,positive
yes i am,neutral
 i cant call mitch  im from sweden,neutral
happy star wars day may the fourth be with you,positive
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral
i just watched marley  mei cried so hard,negative
take antibacterial to school to clean your hands when you cant go the loos,neutral
im leaving work now trying to decide if i return on sunday afternoon or monday 4 am to meet a noon uk time deadline,neutral
 haaawwell i get out of class at 1050i hope i make it,positive
oooh sunshine a patch of sunshine and it will be gone by the time i leave work and replaced with rain  vent,neutral
skype call with billie but my webcam dont work,neutral
just had a great study time followed by a delicious japanese meal with arty now trying to get back into the study mood,positive
fml not having a car is prohibiting finding a job,negative
  lol since i got twitter a little while ago it seems like loads of people setting up an account,neutral
 i want to see david cook,positive
 yeh me 2,neutral
 learning tat the scenic way  din plan to go town but somehow was herded there,neutral
 i dont want to do anything specific i just want to see you and puppy,neutral
 yeah i need his fricken cell number ive tried his home for months and hes too busy i miss braddddddddd,negative
toy story 3 trailer premiered with up i need my computer back,neutral
ughh on the phone with hp,neutral
and hand made by dan  jenn sock blockers  made from exotic woods  one of which is called purple heart,neutral
